|     | Vehicle Name                        | Vehicle Class           |   Top Speed (mph) |   Price ($) |
|----:|:------------------------------------|:------------------------|------------------:|------------:|
|   0 | Benefactor Terrorbyte               | Commercial, Military    |             87.50 |  1375000.00 |
|   1 | Bravado Dorado Cruiser              | Emergency               |            112.75 |  5005000.00 |
|   2 | Bravado Greenwood Cruiser           | Emergency               |            121.50 |  4910000.00 |
|   3 | Bravado Police Gauntlet Interceptor | Emergency               |            122.00 |  5420000.00 |
|   4 | Canis Terminus Patrol               | Emergency               |            119.50 |  5125000.00 |
|   5 | Declasse Impaler LX Cruiser         | Emergency               |            117.00 |  4800000.00 |
|   6 | Declasse Impaler SZ Cruiser         | Emergency               |            118.25 |  4720000.00 |
|   7 | Invetero Coquette D10 Pursuit       | Emergency               |            133.75 |  5620000.00 |
|   8 | Vapid Caracara Pursuit              | Emergency               |            104.75 |  5335000.00 |
|   9 | Vapid Dominator FX Interceptor      | Emergency               |            124.00 |  4950000.00 |
|  10 | Vapid Police Stanier LE Cruiser     | Emergency               |            114.25 |  4690000.00 |
|  11 | Vapid Unmarked Cruiser              | Emergency               |            111.00 |  3950000.00 |
|  12 | Willard Outreach Faction            | Emergency               |            114.75 |  4150000.00 |
|  13 | Dinka Akuma                         | Motorcycles             |            121.25 |     9000.00 |
|  14 | Dinka Double-T                      | Motorcycles             |            118.00 |    12000.00 |
|  15 | Nagasaki Shinobi                    | Motorcycles             |            125.25 |  2480500.00 |
|  16 | Nagasaki Shotaro                    | Motorcycles             |            123.75 |  2225000.00 |
|  17 | Pegassi Bati 801                    | Motorcycles             |            135.00 |    15000.00 |
|  18 | Pegassi Bati 801RR                  | Motorcycles             |            135.00 |    15000.00 |
|  19 | Shitzu Hakuchou                     | Motorcycles             |            134.00 |    82000.00 |
|  20 | Shitzu Hakuchou Drag Bike           | Motorcycles             |            126.50 |   976000.00 |
|  21 | Western Reever                      | Motorcycles             |            163.00 |  1900000.00 |
|  22 | Western Zombie Chopper              | Motorcycles             |            113.75 |   122000.00 |
|  23 | Western Police Bike                 | Motorcycles, Emergency  |            156.75 |  4960000.00 |
|  24 | Maibatsu Manchez Scout              | Motorcycles, Off        |            139.75 |   225000.00 |
|  25 | Maibatsu Sanchez                    | Motorcycles, Off        |            119.50 |     8000.00 |
|  26 | Maibatsu Sanchez (Livery)           | Motorcycles, Off        |            119.50 |     7000.00 |
|  27 | Albany Hermes                       | Muscle                  |            115.50 |   535000.00 |
|  28 | BF Weevil Custom                    | Muscle                  |            137.50 |   980000.00 |
|  29 | Bravado Buffalo EVX                 | Muscle                  |            119.00 |  2140000.00 |
|  30 | Bravado Buffalo STX                 | Muscle                  |            126.00 |  2150000.00 |
|  31 | Bravado Gauntlet Hellfire           | Muscle                  |            125.00 |   745000.00 |
|  32 | Bravado Greenwood                   | Muscle                  |            119.50 |  1465000.00 |
|  33 | Classique Broadway                  | Muscle                  |            100.00 |   925000.00 |
|  34 | Declasse Impaler LX                 | Muscle                  |            115.50 |  1465000.00 |
|  35 | Declasse Tampa GT                   | Muscle                  |            130.50 |  1311000.00 |
|  36 | Declasse Vigero ZX                  | Muscle                  |            125.00 |  1947000.00 |
|  37 | Imponte Duke O'Death                | Muscle                  |            114.50 |   665000.00 |
|  38 | Schyster Deviant                    | Muscle                  |            108.00 |   512000.00 |
|  39 | Vapid Dominator                     | Muscle                  |            120.75 |    35000.00 |
|  40 | Willard Eudora                      | Muscle                  |            109.00 |  1250000.00 |
|  41 | Vapid Dominator ASP                 | Muscle, Tuners          |            118.75 |  1775000.00 |
|  42 | Vapid Dominator GTT                 | Muscle, Tuners          |            115.00 |  1220000.00 |
|  43 | Annis Hellion                       | Off                     |            104.00 |   835000.00 |
|  44 | Benefactor Dubsta 6x6               | Off                     |            104.25 |   249000.00 |
|  45 | Canis Terminus                      | Off                     |            119.00 |  1877500.00 |
