                            Vehicle Name            Vehicle Class  Top Speed (mph)  Price ($)
0                  Benefactor Terrorbyte     Commercial, Military            87.50  1375000.0
1                 Bravado Dorado Cruiser                Emergency           112.75  5005000.0
2              Bravado Greenwood Cruiser                Emergency           121.50  4910000.0
3    Bravado Police Gauntlet Interceptor                Emergency           122.00  5420000.0
4                  Canis Terminus Patrol                Emergency           119.50  5125000.0
5            Declasse Impaler LX Cruiser                Emergency           117.00  4800000.0
6            Declasse Impaler SZ Cruiser                Emergency           118.25  4720000.0
7          Invetero Coquette D10 Pursuit                Emergency           133.75  5620000.0
8                 Vapid Caracara Pursuit                Emergency           104.75  5335000.0
9         Vapid Dominator FX Interceptor                Emergency           124.00  4950000.0
10       Vapid Police Stanier LE Cruiser                Emergency           114.25  4690000.0
11                Vapid Unmarked Cruiser                Emergency           111.00  3950000.0
12              Willard Outreach Faction                Emergency           114.75  4150000.0
13                           Dinka Akuma              Motorcycles           121.25     9000.0
14                        Dinka Double-T              Motorcycles           118.00    12000.0
15                      Nagasaki Shinobi              Motorcycles           125.25  2480500.0
16                      Nagasaki Shotaro              Motorcycles           123.75  2225000.0
17                      Pegassi Bati 801              Motorcycles           135.00    15000.0
18                    Pegassi Bati 801RR              Motorcycles           135.00    15000.0
19                       Shitzu Hakuchou              Motorcycles           134.00    82000.0
20             Shitzu Hakuchou Drag Bike              Motorcycles           126.50   976000.0
21                        Western Reever              Motorcycles           163.00  1900000.0
22                Western Zombie Chopper              Motorcycles           113.75   122000.0
23                   Western Police Bike   Motorcycles, Emergency           156.75  4960000.0
24                Maibatsu Manchez Scout         Motorcycles, Off           139.75   225000.0
25                      Maibatsu Sanchez         Motorcycles, Off           119.50     8000.0
26             Maibatsu Sanchez (Livery)         Motorcycles, Off           119.50     7000.0
27                         Albany Hermes                   Muscle           115.50   535000.0
28                      BF Weevil Custom                   Muscle           137.50   980000.0
29                   Bravado Buffalo EVX                   Muscle           119.00  2140000.0
30                   Bravado Buffalo STX                   Muscle           126.00  2150000.0
31             Bravado Gauntlet Hellfire                   Muscle           125.00   745000.0
32                     Bravado Greenwood                   Muscle           119.50  1465000.0
33                    Classique Broadway                   Muscle           100.00   925000.0
34                   Declasse Impaler LX                   Muscle           115.50  1465000.0
35                     Declasse Tampa GT                   Muscle           130.50  1311000.0
36                    Declasse Vigero ZX                   Muscle           125.00  1947000.0
37                  Imponte Duke O'Death                   Muscle           114.50   665000.0
38                      Schyster Deviant                   Muscle           108.00   512000.0
39                       Vapid Dominator                   Muscle           120.75    35000.0
40                        Willard Eudora                   Muscle           109.00  1250000.0
41                   Vapid Dominator ASP           Muscle, Tuners           118.75  1775000.0
42                   Vapid Dominator GTT           Muscle, Tuners           115.00  1220000.0
43                         Annis Hellion                      Off           104.00   835000.0
44                 Benefactor Dubsta 6x6                      Off           104.25   249000.0
45                        Canis Terminus                      Off           119.00  1877500.0
46                  Maibatsu MonstroCiti                      Off           109.75  1485000.0
